Protein,CRC01-N,CRC01-T,CRC02-N_fixed
NOP2,76.0,72.0,101.0
NOP53,11.0,8.0,21.0
NOP56,43.0,60.0,85.0
NOP58,69.0,87.0,92.0
NOP9,93.0,90.0,107.0
NOPCHAP1,23.0,27.0,35.0
NOS1,148.0,166.0,224.0
NOS1AP,65.0,71.0,90.0
NOS2,127.0,130.0,187.0
NOS3,129.0,118.0,154.0
NOSIP,39.0,36.0,45.0
NOSTRIN,85.0,82.0,111.0
NOTCH1,116.0,115.0,150.0
NOTCH2,103.0,118.0,146.0
NOTCH2NLA,5.0,4.0,5.0
NOTCH2NLB,14.0,16.0,27.0
NOTCH2NLC,4.0,4.0,8.0
NOTCH2NLR,15.0,17.0,21.0
NOTCH3,110.0,131.0,161.0
NOTCH4,105.0,100.0,149.0
NOTO,8.0,10.0,11.0
NOTUM,21.0,29.0,45.0
NOVA1,53.0,46.0,72.0
NOVA2,36.0,31.0,52.0
NOX1,45.0,54.0,66.0
NOX3,42.0,46.0,66.0
NOX4,60.0,57.0,74.0
NOX5,88.0,96.0,127.0
NOXA1,43.0,40.0,62.0
NOXO1,51.0,47.0,87.0
NOXRED1,44.0,44.0,51.0
NPAP1,64.0,65.0,94.0
NPAS1,32.0,34.0,63.0
NPAS2,58.0,63.0,85.0
NPAS3,66.0,70.0,104.0
NPAS4,28.0,29.0,43.0
NPAT,104.0,107.0,142.0
NPB,16.0,16.0,21.0
NPBWR1,8.0,7.0,11.0
NPBWR2,2.0,4.0,1.0
NPC1,54.0,59.0,85.0
NPC1L1,68.0,74.0,96.0
NPC2,12.0,16.0,18.0
NPDC1,29.0,30.0,39.0
NPEPL1,37.0,38.0,50.0
NPEPPS,101.0,106.0,146.0
NPEPPSL1,15.0,22.0,14.0
NPFF,9.0,8.0,12.0
NPFFR1,6.0,6.0,14.0
NPFFR2,27.0,30.0,49.0
NPHP1,68.0,65.0,84.0
NPHP3,155.0,160.0,224.0
NPHP4,97.0,104.0,145.0
NPHS1,104.0,107.0,130.0
NPHS2,52.0,53.0,68.0
NPIPA1,28.0,35.0,35.0
NPIPA2,14.0,14.0,17.0
NPIPA5,1.0,,4.0
NPIPA7,5.0,4.0,4.0
NPIPB11,22.0,25.0,30.0
NPIPB13,12.0,16.0,17.0
NPIPB15,29.0,31.0,37.0
NPIPB2,25.0,28.0,31.0
NPIPB3,64.0,76.0,84.0
NPIPB4,,,3.0
NPIPB6,23.0,24.0,40.0
NPIPB7,4.0,5.0,2.0
NPIPB8,11.0,5.0,10.0
NPIPB9,1.0,3.0,2.0
NPL,23.0,25.0,40.0
NPLOC4,66.0,66.0,98.0
NPM1,17.0,19.0,22.0
NPM2,11.0,12.0,17.0
NPM3,10.0,12.0,19.0
NPNT,79.0,67.0,97.0
NPPA,6.0,9.0,14.0
NPPB,7.0,8.0,15.0
NPPC,15.0,15.0,15.0
NPR1,113.0,115.0,137.0
NPR2,101.0,109.0,140.0
NPR3,32.0,34.0,45.0
NPRL2,31.0,33.0,46.0
NPRL3,52.0,51.0,71.0
NPS,3.0,3.0,3.0
NPSR1,14.0,18.0,16.0
NPTN,43.0,47.0,68.0
NPTX1,33.0,40.0,49.0
NPTX2,65.0,63.0,72.0
NPTXR,32.0,29.0,44.0
NPVF,8.0,9.0,21.0
NPW,15.0,21.0,20.0
NPY,9.0,9.0,14.0
NPY1R,18.0,15.0,21.0
NPY2R,2.0,5.0,16.0
NPY4R,16.0,13.0,20.0
NPY5R,28.0,30.0,49.0
NPY6R,12.0,17.0,18.0
NQO1,19.0,14.0,22.0
NQO2,31.0,31.0,41.0
NR0B1,45.0,44.0,73.0
NR0B2,13.0,16.0,14.0
NR1D1,46.0,54.0,72.0
NR1D2,56.0,54.0,87.0
NR1H2,60.0,63.0,66.0
NR1H3,48.0,49.0,65.0
NR1H4,52.0,61.0,70.0
NR1I2,47.0,53.0,79.0
NR1I3,25.0,25.0,35.0
NR2C1,45.0,58.0,70.0
NR2C2,78.0,78.0,96.0
NR2C2AP,9.0,8.0,21.0
NR2E1,40.0,34.0,54.0
NR2E3,60.0,51.0,59.0
NR2F1,33.0,32.0,46.0
NR2F2,12.0,11.0,22.0
NR2F6,46.0,41.0,50.0
NR3C1,72.0,72.0,91.0
NR3C2,91.0,80.0,114.0
NR4A1,57.0,43.0,63.0
NR4A2,28.0,34.0,42.0
NR4A3,30.0,28.0,51.0
NR5A1,35.0,33.0,49.0
NR5A2,33.0,35.0,48.0
NR6A1,56.0,52.0,81.0
NRAC,19.0,17.0,24.0
NRAP,280.0,285.0,413.0
NRARP,7.0,6.0,7.0
NRAS,24.0,36.0,34.0
