Protein,CRC01-N,CRC01-T,CRC02-N_fixed
SYNE1,1143.0,1230.0,1675.0
SYNE2,957.0,981.0,1325.0
SYNE3,138.0,150.0,194.0
SYNE4,26.0,32.0,41.0
SYNGAP1,133.0,126.0,187.0
SYNGR1,12.0,9.0,16.0
SYNGR2,14.0,16.0,16.0
SYNGR3,9.0,8.0,11.0
SYNGR4,11.0,9.0,16.0
SYNJ1,171.0,193.0,254.0
SYNJ2,155.0,176.0,238.0
SYNJ2BP,14.0,14.0,22.0
SYNM,147.0,149.0,217.0
SYNPO,98.0,100.0,142.0
SYNPO2,109.0,118.0,135.0
SYNPO2L,80.0,77.0,83.0
SYNPR,16.0,17.0,21.0
SYNRG,126.0,133.0,170.0
SYP,13.0,13.0,20.0
SYPL1,11.0,10.0,17.0
SYPL2,14.0,19.0,23.0
SYS1,7.0,7.0,7.0
SYT1,31.0,41.0,45.0
SYT10,54.0,52.0,71.0
SYT11,39.0,45.0,55.0
SYT12,38.0,36.0,51.0
SYT13,7.0,7.0,22.0
SYT14,49.0,41.0,65.0
SYT14P1,13.0,21.0,29.0
SYT15,26.0,27.0,45.0
SYT15B,18.0,20.0,20.0
SYT16,43.0,44.0,57.0
SYT17,43.0,49.0,72.0
SYT2,35.0,32.0,55.0
SYT3,34.0,37.0,63.0
SYT4,33.0,41.0,56.0
SYT5,50.0,55.0,73.0
SYT6,44.0,47.0,64.0
SYT7,36.0,36.0,63.0
SYT8,15.0,21.0,22.0
SYT9,35.0,45.0,52.0
SYTL1,54.0,47.0,73.0
SYTL2,139.0,120.0,184.0
SYTL3,108.0,109.0,110.0
SYTL4,91.0,93.0,104.0
SYTL5,105.0,97.0,117.0
SYVN1,39.0,40.0,45.0
SZRD1,18.0,18.0,25.0
SZT2,277.0,269.0,371.0
TA6P,5.0,2.0,3.0
TAAR1,25.0,27.0,40.0
TAAR2,14.0,14.0,17.0
TAAR3P,18.0,21.0,27.0
TAAR5,20.0,17.0,23.0
TAAR6,6.0,11.0,11.0
TAAR8,3.0,5.0,10.0
TAAR9,9.0,7.0,7.0
TAB1,34.0,36.0,58.0
TAB2,63.0,60.0,76.0
TAB3,74.0,70.0,98.0
TAC1,16.0,14.0,22.0
TAC3,17.0,21.0,30.0
TAC4,5.0,5.0,10.0
TACC1,87.0,90.0,107.0
TACC2,228.0,240.0,354.0
TACC3,69.0,68.0,110.0
TACO1,46.0,54.0,51.0
TACR1,26.0,27.0,24.0
TACR2,25.0,26.0,25.0
TACR3,18.0,19.0,25.0
TACSTD2,24.0,36.0,40.0
TADA1,32.0,35.0,41.0
TADA2A,65.0,73.0,91.0
TADA2B,33.0,32.0,48.0
TADA3,37.0,37.0,47.0
TAF1,119.0,116.0,181.0
TAF10,6.0,5.0,10.0
TAF11,8.0,10.0,10.0
TAF11L11,11.0,14.0,23.0
TAF11L12,15.0,10.0,14.0
TAF11L13,8.0,6.0,8.0
TAF11L14,10.0,10.0,18.0
TAF11L2,10.0,13.0,11.0
TAF11L3,3.0,2.0,1.0
TAF11L4,,,2.0
TAF11L5,12.0,14.0,19.0
TAF11L9,2.0,3.0,2.0
TAF12,11.0,11.0,17.0
TAF13,13.0,10.0,13.0
TAF15,33.0,27.0,41.0
TAF1A,71.0,71.0,107.0
TAF1B,49.0,49.0,75.0
TAF1C,63.0,56.0,83.0
TAF1D,34.0,34.0,47.0
TAF1L,57.0,64.0,87.0
TAF2,130.0,136.0,186.0
TAF3,55.0,66.0,75.0
TAF4,92.0,95.0,122.0
TAF4B,68.0,67.0,115.0
TAF5,84.0,89.0,101.0
TAF5L,55.0,60.0,79.0
TAF6,73.0,82.0,125.0
TAF6L,50.0,54.0,61.0
TAF7,34.0,38.0,41.0
TAF7L,45.0,45.0,57.0
TAF8,26.0,27.0,39.0
TAF9,28.0,26.0,52.0
TAF9B,24.0,20.0,28.0
TAFA1,4.0,7.0,11.0
TAFA2,6.0,5.0,11.0
TAFA3,9.0,11.0,17.0
TAFA4,13.0,18.0,22.0
TAFA5,4.0,4.0,3.0
TAFAZZIN,31.0,35.0,49.0
TAGAP,68.0,70.0,94.0
TAGLN,27.0,28.0,50.0
TAGLN2,21.0,26.0,38.0
TAGLN3,22.0,25.0,32.0
TAL1,24.0,30.0,44.0
TAL2,1.0,2.0,4.0
TALDO1,42.0,45.0,67.0
TAMALIN,40.0,48.0,52.0
TAMM41,41.0,36.0,52.0
TANC1,244.0,241.0,316.0
TANC2,173.0,198.0,238.0
TANGO2,33.0,37.0,51.0
TANGO6,94.0,90.0,132.0
TANK,56.0,65.0,84.0
TAOK1,139.0,140.0,159.0
TAOK2,111.0,115.0,130.0
TAOK3,91.0,101.0,139.0
TAP1,46.0,48.0,65.0
TAP2,47.0,56.0,67.0
TAPBP,16.0,21.0,26.0
TAPBPL,37.0,31.0,40.0
TAPT1,45.0,56.0,87.0
TARBP1,131.0,138.0,198.0
TARBP2,43.0,37.0,50.0
TARDBP,26.0,22.0,31.0
TARM1,35.0,43.0,45.0
TARS1,86.0,94.0,128.0
TARS2,93.0,93.0,139.0
TARS3,107.0,103.0,127.0
TAS1R1,76.0,73.0,95.0
TAS1R2,28.0,24.0,55.0
TAS1R3,41.0,45.0,62.0
TAS2R1,10.0,9.0,15.0
TAS2R10,22.0,19.0,25.0
TAS2R13,4.0,2.0,11.0
TAS2R14,19.0,21.0,23.0
TAS2R16,,1.0,1.0
TAS2R19,10.0,12.0,17.0
TAS2R2,12.0,12.0,21.0
TAS2R20,2.0,5.0,12.0
TAS2R3,20.0,21.0,31.0
TAS2R30,2.0,2.0,5.0
TAS2R31,7.0,6.0,5.0
TAS2R33,12.0,16.0,17.0
TAS2R36,6.0,5.0,14.0
TAS2R38,20.0,21.0,20.0
TAS2R39,15.0,13.0,16.0
TAS2R4,13.0,19.0,18.0
TAS2R40,18.0,20.0,36.0
TAS2R41,15.0,19.0,30.0
TAS2R42,16.0,16.0,23.0
TAS2R43,11.0,14.0,29.0
TAS2R45,7.0,6.0,9.0
TAS2R46,7.0,8.0,7.0
TAS2R5,1.0,3.0,5.0
TAS2R50,14.0,14.0,20.0
TAS2R60,34.0,38.0,47.0
TAS2R7,8.0,12.0,15.0
TAS2R8,7.0,8.0,12.0
TAS2R9,14.0,18.0,25.0
TASL,15.0,12.0,11.0
TASOR,186.0,205.0,289.0
TASOR2,276.0,294.0,361.0
TASP1,43.0,46.0,58.0
TAT,53.0,51.0,69.0
TATDN1,52.0,46.0,65.0
TATDN2,100.0,98.0,144.0
TATDN3,38.0,39.0,51.0
TAX1BP1,92.0,92.0,141.0
TAX1BP3,11.0,11.0,19.0
TBATA,30.0,32.0,41.0
TBC1D1,132.0,151.0,178.0
TBC1D10A,47.0,48.0,63.0
TBC1D10B,42.0,49.0,54.0
TBC1D10C,29.0,40.0,54.0
TBC1D12,84.0,90.0,116.0
TBC1D13,58.0,57.0,81.0
TBC1D14,61.0,62.0,85.0
TBC1D15,93.0,101.0,127.0
TBC1D16,67.0,69.0,104.0
TBC1D17,40.0,47.0,63.0
TBC1D19,37.0,44.0,62.0
TBC1D2,115.0,131.0,140.0
TBC1D20,41.0,38.0,58.0
TBC1D21,26.0,40.0,62.0
TBC1D22A,52.0,61.0,71.0
TBC1D22B,49.0,53.0,67.0
TBC1D23,41.0,39.0,79.0
TBC1D24,53.0,57.0,87.0
TBC1D25,54.0,56.0,79.0
TBC1D26,19.0,24.0,34.0
TBC1D28,9.0,15.0,16.0
TBC1D29P,21.0,25.0,32.0
TBC1D2B,148.0,126.0,192.0
TBC1D3,29.0,26.0,38.0
TBC1D30,86.0,88.0,142.0
TBC1D31,134.0,144.0,169.0
TBC1D32,101.0,108.0,165.0
TBC1D3B,1.0,1.0,1.0
TBC1D3E,,,1.0
TBC1D3F,2.0,3.0,5.0
TBC1D3G,1.0,1.0,5.0
TBC1D3L,1.0,2.0,2.0
TBC1D4,132.0,155.0,187.0
TBC1D5,65.0,76.0,115.0
TBC1D7,33.0,36.0,46.0
TBC1D8,132.0,138.0,180.0
TBC1D8B,87.0,100.0,142.0
TBC1D9,134.0,158.0,198.0
TBC1D9B,124.0,130.0,155.0
TBCA,16.0,16.0,20.0
TBCB,44.0,46.0,51.0
TBCC,44.0,42.0,60.0
TBCCD1,51.0,58.0,77.0
TBCD,112.0,101.0,156.0
TBCE,83.0,85.0,113.0
TBCEL,46.0,59.0,85.0
TBCK,75.0,71.0,98.0
TBK1,89.0,92.0,136.0
TBKBP1,66.0,62.0,99.0
TBL1X,53.0,49.0,70.0
TBL1XR1,42.0,41.0,46.0
TBL1Y,39.0,43.0,48.0
TBL2,31.0,37.0,59.0
TBL3,94.0,96.0,140.0
TBP,17.0,18.0,21.0
TBPL1,24.0,21.0,29.0
TBPL2,13.0,15.0,17.0
TBR1,61.0,60.0,91.0
TBRG1,29.0,19.0,28.0
TBRG4,61.0,64.0,74.0
TBX1,52.0,61.0,70.0
TBX10,23.0,25.0,40.0
TBX15,32.0,36.0,48.0
TBX18,56.0,54.0,69.0
TBX19,20.0,16.0,20.0
TBX2,64.0,63.0,92.0
TBX20,54.0,66.0,79.0
TBX21,44.0,38.0,73.0
TBX22,43.0,45.0,59.0
TBX3,54.0,58.0,78.0
TBX4,48.0,45.0,58.0
TBX5,32.0,31.0,52.0
TBX6,28.0,28.0,38.0
TBXA2R,12.0,13.0,23.0
TBXAS1,57.0,58.0,91.0
TBXT,36.0,34.0,37.0
TC2N,44.0,56.0,75.0
TCAF1,55.0,74.0,76.0
TCAF2,59.0,66.0,69.0
TCAIM,62.0,68.0,77.0
TCAP,34.0,35.0,41.0
TCEA1,41.0,40.0,55.0
TCEA2,27.0,25.0,24.0
TCEA3,43.0,43.0,61.0
TCEAL1,21.0,21.0,32.0
TCEAL2,28.0,31.0,50.0
TCEAL4,31.0,38.0,63.0
TCEAL5,12.0,15.0,16.0
TCEAL6,37.0,38.0,50.0
TCEAL7,13.0,12.0,19.0
TCEAL8,20.0,18.0,23.0
TCEAL9,15.0,19.0,23.0
TCEANC,50.0,48.0,75.0
TCEANC2,25.0,26.0,34.0
TCERG1,79.0,89.0,111.0
TCERG1L,41.0,49.0,56.0
TCF12,42.0,41.0,56.0
TCF15,34.0,38.0,40.0
TCF19,36.0,38.0,62.0
TCF20,235.0,230.0,324.0
TCF21,21.0,18.0,28.0
TCF23,27.0,28.0,33.0
TCF24,36.0,34.0,34.0
TCF25,77.0,82.0,103.0
TCF3,28.0,32.0,53.0
TCF4,32.0,39.0,54.0
TCF7,21.0,22.0,42.0
TCF7L1,17.0,19.0,33.0
TCF7L2,23.0,23.0,29.0
TCFL5,24.0,23.0,32.0
TCHH,194.0,231.0,285.0
TCHHL1,96.0,105.0,127.0
TCHP,83.0,99.0,108.0
TCIM,15.0,11.0,21.0
TCIRG1,73.0,73.0,80.0
TCL1A,12.0,14.0,24.0
TCL1B,10.0,10.0,16.0
TCN1,20.0,26.0,37.0
TCN2,29.0,29.0,39.0
TCOF1,137.0,141.0,175.0
TCP1,65.0,64.0,97.0
TCP10L,28.0,29.0,38.0
TCP11,54.0,52.0,66.0
TCP11L1,54.0,60.0,86.0
TCP11L2,43.0,54.0,56.0
TCP11X1,51.0,50.0,66.0
TCTA,5.0,7.0,6.0
TCTN1,33.0,28.0,38.0
TCTN2,31.0,44.0,54.0
TCTN3,54.0,53.0,67.0
TDG,10.0,8.0,25.0
TDH,20.0,20.0,32.0
TDO2,63.0,69.0,92.0
TDP1,63.0,64.0,99.0
TDP2,36.0,40.0,53.0
TDRD1,151.0,145.0,211.0
TDRD10,58.0,59.0,82.0
TDRD12,151.0,155.0,195.0
TDRD15,197.0,214.0,286.0
TDRD3,101.0,100.0,131.0
TDRD5,120.0,125.0,157.0
TDRD6,219.0,229.0,307.0
TDRD7,122.0,126.0,169.0
TDRD9,155.0,156.0,223.0
TDRG1,7.0,5.0,6.0
TDRKH,43.0,47.0,63.0
TDRP,15.0,17.0,25.0
TEAD1,17.0,24.0,25.0
TEAD2,6.0,7.0,14.0
TEAD3,25.0,27.0,37.0
TEAD4,18.0,23.0,26.0
TEC,90.0,84.0,128.0
TECPR1,82.0,93.0,99.0
TECPR2,97.0,115.0,148.0
TECR,34.0,28.0,37.0
TECRL,27.0,32.0,32.0
TECTA,163.0,173.0,231.0
TECTB,39.0,39.0,48.0
TEDC1,50.0,47.0,77.0
TEDC2,42.0,40.0,49.0
TEDDM1,16.0,17.0,22.0
TEF,18.0,15.0,21.0
TEFM,56.0,59.0,81.0
TEK,80.0,78.0,110.0
TEKT1,69.0,67.0,110.0
TEKT2,63.0,57.0,79.0
TEKT3,86.0,76.0,112.0
TEKT4,73.0,81.0,116.0
TEKT5,81.0,87.0,100.0
TEKTIP1,17.0,17.0,20.0
TEKTL1,101.0,91.0,126.0
TELO2,95.0,93.0,118.0
TEN1,9.0,10.0,16.0
TENM1,238.0,208.0,309.0
TENM2,214.0,228.0,308.0
TENM3,204.0,209.0,310.0
TENM4,245.0,236.0,317.0
TENT2,54.0,57.0,67.0
TENT4A,62.0,60.0,87.0
TENT4B,58.0,64.0,77.0
TENT5A,32.0,32.0,48.0
TENT5B,24.0,29.0,45.0
TENT5C,35.0,29.0,48.0
TENT5D,31.0,30.0,62.0
TEP1,249.0,282.0,349.0
TEPSIN,31.0,32.0,38.0
TERB1,72.0,71.0,123.0
TERB2,31.0,31.0,46.0
TERF1,58.0,59.0,86.0
TERF2,42.0,49.0,76.0
TERF2IP,52.0,57.0,68.0
TERT,141.0,147.0,199.0
TES,56.0,62.0,86.0
TESC,43.0,33.0,59.0
TESK1,41.0,45.0,53.0
TESK2,41.0,43.0,65.0
TESMIN,32.0,42.0,65.0
TESPA1,47.0,59.0,74.0
TET1,215.0,234.0,280.0
TET2,224.0,217.0,324.0
TET3,119.0,104.0,136.0
TEX10,79.0,87.0,116.0
TEX101,11.0,10.0,15.0
TEX11,100.0,113.0,128.0
TEX12,13.0,14.0,14.0
TEX13A,35.0,35.0,46.0
TEX13B,25.0,23.0,37.0
TEX13C,104.0,106.0,171.0
TEX13D,67.0,66.0,102.0
TEX14,146.0,142.0,233.0
TEX15,256.0,253.0,347.0
TEX2,82.0,82.0,116.0
TEX22,13.0,11.0,13.0
TEX26,17.0,23.0,28.0
TEX261,6.0,6.0,7.0
TEX264,40.0,36.0,49.0
TEX28,43.0,44.0,57.0
TEX29,14.0,17.0,17.0
TEX30,19.0,20.0,34.0
TEX35,34.0,37.0,48.0
TEX36,25.0,22.0,35.0
TEX38,16.0,15.0,16.0
TEX44,17.0,21.0,30.0
TEX46,7.0,9.0,14.0
TEX47,22.0,18.0,40.0
TEX48,22.0,23.0,28.0
TEX50,9.0,10.0,19.0
TEX51,13.0,15.0,35.0
TEX52,21.0,21.0,37.0
TEX53,11.0,9.0,17.0
TEX54,9.0,11.0,28.0
TEX55,77.0,66.0,91.0
TEX9,58.0,49.0,67.0
TF,89.0,106.0,135.0
TFAM,45.0,49.0,56.0
TFAP2A,26.0,27.0,47.0
TFAP2B,29.0,32.0,42.0
TFAP2C,21.0,23.0,36.0
TFAP2D,42.0,41.0,50.0
TFAP2E,28.0,30.0,44.0
TFAP4,39.0,34.0,56.0
TFB1M,41.0,42.0,63.0
TFB2M,68.0,63.0,100.0
TFCP2,34.0,32.0,56.0
TFCP2L1,31.0,38.0,62.0
TFDP1,30.0,33.0,43.0
TFDP2,21.0,29.0,35.0
TFDP3,35.0,44.0,53.0
TFE3,37.0,46.0,50.0
TFEB,23.0,25.0,35.0
TFEC,16.0,18.0,23.0
TFF1,2.0,3.0,3.0
TFF2,7.0,11.0,13.0
TFF3,6.0,8.0,15.0
TFG,22.0,18.0,25.0
TFIP11,92.0,95.0,136.0
TFPI,38.0,32.0,45.0
TFPI2,20.0,20.0,26.0
TFPT,11.0,12.0,15.0
TFR2,70.0,68.0,92.0
TFRC,93.0,91.0,117.0
TG,195.0,199.0,287.0
TGDS,30.0,35.0,40.0
TGFA,9.0,10.0,11.0
TGFB1,54.0,55.0,69.0
TGFB1I1,46.0,46.0,70.0
TGFB2,48.0,44.0,61.0
TGFB3,43.0,49.0,54.0
TGFBI,42.0,48.0,73.0
TGFBR1,50.0,50.0,59.0
TGFBR2,70.0,65.0,108.0
TGFBR3,73.0,63.0,90.0
TGFBR3L,17.0,23.0,26.0
TGFBRAP1,103.0,93.0,125.0
TGIF1,31.0,38.0,43.0
TGIF2,3.0,11.0,12.0
TGIF2LX,13.0,17.0,13.0
TGIF2LY,38.0,35.0,52.0
TGM1,74.0,82.0,105.0
TGM2,84.0,86.0,97.0
TGM3,63.0,68.0,86.0
TGM4,81.0,85.0,107.0
TGM5,59.0,63.0,84.0
TGM6,80.0,88.0,105.0
TGM7,83.0,89.0,97.0
TGOLN2,51.0,54.0,79.0
TGS1,70.0,77.0,115.0
TH,44.0,46.0,61.0
THADA,149.0,176.0,214.0
THAP1,24.0,31.0,34.0
THAP10,23.0,20.0,25.0
THAP11,28.0,29.0,33.0
THAP12,86.0,85.0,122.0
THAP2,40.0,36.0,52.0
THAP3,21.0,26.0,45.0
THAP4,42.0,34.0,57.0
THAP5,39.0,38.0,47.0
THAP6,33.0,31.0,39.0
THAP7,35.0,28.0,35.0
THAP8,32.0,33.0,50.0
THAP9,124.0,120.0,160.0
THBD,16.0,18.0,26.0
THBS1,112.0,111.0,157.0
THBS2,85.0,102.0,122.0
THBS3,70.0,79.0,92.0
THBS4,73.0,68.0,101.0
THEM4,33.0,40.0,49.0
THEM5,17.0,13.0,18.0
THEM6,26.0,26.0,26.0
THEMIS,78.0,82.0,101.0
THEMIS2,58.0,50.0,77.0
THG1L,27.0,23.0,27.0
THNSL1,69.0,76.0,110.0
THNSL2,55.0,59.0,72.0
THOC1,104.0,109.0,129.0
THOC2,134.0,134.0,206.0
THOC3,41.0,38.0,43.0
THOC5,54.0,73.0,89.0
THOC6,32.0,45.0,52.0
THOC7,34.0,39.0,41.0
THOP1,81.0,79.0,112.0
THPO,28.0,31.0,35.0
THRA,61.0,63.0,98.0
THRAP3,78.0,81.0,115.0
THRB,51.0,52.0,77.0
THRSP,11.0,11.0,17.0
THSD1,75.0,78.0,111.0
THSD4,142.0,154.0,195.0
THSD7A,134.0,147.0,219.0
THSD7B,127.0,125.0,191.0
THSD8,7.0,10.0,19.0
THTPA,42.0,47.0,59.0
THUMPD1,35.0,31.0,52.0
THUMPD2,59.0,66.0,84.0
THUMPD3,61.0,60.0,83.0
THY1,16.0,18.0,27.0
THYN1,40.0,40.0,50.0
TIA1,24.0,26.0,34.0
TIAL1,30.0,28.0,39.0
TIAM1,167.0,176.0,245.0
TIAM2,183.0,177.0,243.0
TICAM1,42.0,32.0,47.0
TICAM2,28.0,29.0,40.0
TICRR,197.0,228.0,254.0
TIE1,88.0,92.0,153.0
TIFA,24.0,23.0,26.0
TIFAB,14.0,15.0,17.0
TIGAR,20.0,21.0,25.0
TIGD1,67.0,74.0,95.0
TIGD2,57.0,64.0,85.0
TIGD3,43.0,48.0,85.0
TIGD4,69.0,71.0,98.0
TIGD5,61.0,55.0,80.0
TIGD6,40.0,51.0,76.0
TIGD7,74.0,70.0,108.0
TIGIT,13.0,16.0,21.0
TIMD4,37.0,34.0,44.0
TIMELESS,133.0,136.0,192.0
TIMM10,10.0,10.0,12.0
TIMM10B,31.0,37.0,36.0
TIMM13,18.0,19.0,33.0
TIMM17A,,1.0,
TIMM17B,7.0,6.0,14.0
TIMM21,46.0,44.0,59.0
TIMM22,9.0,11.0,15.0
TIMM23,7.0,9.0,14.0
TIMM23B,,2.0,2.0
TIMM29,28.0,28.0,35.0
TIMM44,75.0,77.0,101.0
TIMM50,38.0,40.0,62.0
TIMM8A,11.0,10.0,18.0
TIMM8B,24.0,23.0,24.0
TIMM9,34.0,29.0,38.0
TIMMDC1,37.0,36.0,46.0
TIMP1,16.0,19.0,31.0
TIMP2,14.0,19.0,20.0
TIMP3,34.0,36.0,41.0
TIMP4,23.0,23.0,31.0
TINAG,54.0,62.0,72.0
TINAGL1,40.0,47.0,44.0
TINCR,13.0,13.0,21.0
TINF2,47.0,51.0,75.0
TIPARP,66.0,64.0,80.0
TIPIN,24.0,24.0,33.0
TIPRL,31.0,41.0,61.0
TIRAP,9.0,8.0,13.0
TJAP1,70.0,71.0,96.0
TJP1,223.0,229.0,289.0
TJP2,137.0,129.0,174.0
TJP3,82.0,82.0,134.0
TK1,42.0,42.0,54.0
TK2,33.0,27.0,47.0
TKFC,26.0,35.0,37.0
TKT,46.0,40.0,59.0
TKTL1,72.0,76.0,107.0
TKTL2,42.0,39.0,56.0
TLCD1,12.0,11.0,12.0
TLCD2,11.0,8.0,13.0
TLCD3A,14.0,15.0,29.0
TLCD3B,24.0,26.0,32.0
TLCD4,9.0,9.0,12.0
TLCD5,3.0,4.0,4.0
TLDC2,18.0,16.0,24.0
TLE1,63.0,62.0,100.0
TLE2,40.0,34.0,73.0
TLE3,48.0,46.0,63.0
TLE4,29.0,21.0,53.0
TLE5,23.0,25.0,27.0
TLE6,41.0,49.0,58.0
TLE7,25.0,24.0,43.0
TLK1,61.0,65.0,104.0
TLK2,97.0,95.0,130.0
TLL1,120.0,118.0,165.0
TLL2,89.0,89.0,143.0
TLN1,253.0,264.0,358.0
TLN2,241.0,242.0,352.0
TLNRD1,39.0,33.0,43.0
TLR1,82.0,87.0,123.0
TLR10,68.0,64.0,107.0
TLR2,84.0,86.0,111.0
TLR3,77.0,78.0,118.0
TLR4,67.0,71.0,86.0
TLR5,75.0,87.0,109.0
TLR6,94.0,94.0,111.0
TLR7,107.0,112.0,138.0
TLR8,116.0,112.0,146.0
TLR9,90.0,86.0,128.0
TLX1,6.0,8.0,18.0
TLX1NB,1.0,1.0,
TLX2,2.0,5.0,12.0
TLX3,11.0,14.0,20.0
TM2D1,15.0,14.0,15.0
TM2D2,,,1.0
TM2D3,25.0,30.0,34.0
TM4SF18,4.0,5.0,3.0
TM4SF19,5.0,7.0,5.0
TM4SF20,3.0,2.0,6.0
TM4SF4,4.0,1.0,2.0
TM4SF5,8.0,8.0,8.0
TM6SF1,10.0,10.0,11.0
TM6SF2,5.0,4.0,8.0
TM7SF2,18.0,22.0,24.0
TM7SF3,19.0,18.0,28.0
TM9SF1,41.0,38.0,57.0
TM9SF2,45.0,49.0,54.0
TM9SF3,33.0,39.0,57.0
TM9SF4,43.0,39.0,54.0
TMA16,18.0,17.0,27.0
TMBIM1,5.0,5.0,7.0
TMBIM4,2.0,3.0,3.0
TMBIM6,10.0,10.0,8.0
TMC1,47.0,55.0,51.0
TMC2,54.0,59.0,71.0
TMC3,86.0,95.0,134.0
TMC4,54.0,53.0,74.0
TMC5,93.0,84.0,131.0
TMC6,55.0,60.0,92.0
TMC7,49.0,54.0,83.0
TMC8,61.0,63.0,79.0
TMCC1,62.0,60.0,95.0
TMCC2,57.0,59.0,83.0
TMCC3,68.0,74.0,82.0
TMCO1,14.0,14.0,12.0
TMCO2,16.0,16.0,19.0
TMCO4,36.0,36.0,52.0
TMCO5A,67.0,67.0,83.0
TMCO5B,46.0,50.0,62.0
TMCO6,26.0,21.0,33.0
TMDD1,20.0,18.0,24.0
TMED1,17.0,14.0,15.0
TMED10,22.0,21.0,35.0
TMED2,18.0,20.0,27.0
TMED3,14.0,19.0,23.0
TMED4,26.0,24.0,41.0
TMED5,22.0,22.0,25.0
TMED6,17.0,23.0,25.0
TMED7,12.0,16.0,23.0
TMED8,23.0,25.0,25.0
TMED9,33.0,33.0,38.0
TMEFF1,32.0,32.0,59.0
TMEFF2,36.0,35.0,42.0
TMEM100,8.0,7.0,6.0
TMEM101,12.0,11.0,20.0
TMEM102,38.0,38.0,55.0
TMEM105,3.0,5.0,6.0
TMEM106A,21.0,27.0,31.0
TMEM106B,25.0,25.0,29.0
TMEM106C,15.0,12.0,13.0
TMEM107,2.0,4.0,3.0
TMEM108,17.0,19.0,20.0
TMEM109,16.0,14.0,29.0
TMEM11,4.0,7.0,13.0
TMEM114,13.0,11.0,21.0
TMEM115,15.0,15.0,18.0
TMEM116,12.0,11.0,17.0
TMEM117,29.0,29.0,30.0
TMEM119,11.0,12.0,20.0
TMEM120A,24.0,24.0,32.0
TMEM120B,15.0,21.0,31.0
TMEM121,22.0,24.0,29.0
TMEM121B,22.0,20.0,28.0
TMEM123,4.0,2.0,4.0
TMEM125,12.0,12.0,15.0
TMEM126A,17.0,23.0,23.0
TMEM126B,33.0,31.0,47.0
TMEM127,9.0,9.0,10.0
TMEM128,8.0,7.0,9.0
TMEM129,22.0,19.0,31.0
TMEM130,21.0,17.0,36.0
TMEM131,143.0,150.0,203.0
TMEM131L,122.0,129.0,171.0
TMEM132A,75.0,70.0,91.0
TMEM132B,88.0,88.0,111.0
TMEM132C,80.0,88.0,127.0
TMEM132D,93.0,100.0,135.0
TMEM132E,86.0,87.0,103.0
TMEM132E-DT,18.0,16.0,25.0
TMEM134,11.0,11.0,14.0
TMEM135,48.0,57.0,62.0
TMEM138,11.0,8.0,10.0
TMEM139,4.0,3.0,4.0
TMEM141,8.0,10.0,14.0
TMEM143,35.0,39.0,67.0
TMEM144,1.0,,
TMEM145,29.0,28.0,39.0
TMEM147,6.0,3.0,10.0
TMEM14A,5.0,6.0,4.0
TMEM14B,3.0,4.0,6.0
TMEM14C,3.0,5.0,2.0
TMEM14EP,11.0,15.0,14.0
TMEM150A,3.0,4.0,6.0
TMEM150B,4.0,4.0,3.0
TMEM150C,1.0,3.0,7.0
TMEM151A,55.0,58.0,85.0
TMEM151B,47.0,47.0,62.0
TMEM154,14.0,11.0,26.0
TMEM156,28.0,22.0,34.0
TMEM158,9.0,10.0,22.0
TMEM160,5.0,7.0,12.0
TMEM161A,29.0,31.0,38.0
TMEM161B,36.0,38.0,45.0
TMEM163,16.0,13.0,21.0
TMEM164,10.0,9.0,19.0
TMEM165,16.0,19.0,23.0
TMEM167A,2.0,2.0,9.0
TMEM167B,6.0,4.0,6.0
TMEM168,52.0,45.0,66.0
TMEM169,32.0,35.0,49.0
TMEM17,15.0,10.0,18.0
TMEM170A,,3.0,2.0
TMEM170B,1.0,2.0,1.0
TMEM171,15.0,18.0,27.0
TMEM174,8.0,5.0,8.0
TMEM175,20.0,23.0,26.0
TMEM176A,15.0,16.0,21.0
TMEM176B,14.0,22.0,38.0
TMEM177,12.0,16.0,17.0
TMEM178A,14.0,18.0,23.0
TMEM178B,18.0,18.0,21.0
TMEM179,11.0,11.0,18.0
TMEM179B,8.0,7.0,8.0
TMEM18,5.0,4.0,7.0
TMEM181,40.0,37.0,59.0
TMEM182,10.0,7.0,14.0
TMEM183A,45.0,50.0,65.0
TMEM183BP,2.0,3.0,7.0
TMEM184A,24.0,27.0,39.0
TMEM184B,27.0,27.0,24.0
TMEM184C,26.0,22.0,32.0
TMEM185A,22.0,20.0,27.0
TMEM185B,19.0,18.0,19.0
TMEM186,17.0,17.0,29.0
TMEM187,9.0,9.0,10.0
TMEM19,5.0,8.0,6.0
TMEM190,24.0,26.0,26.0
TMEM191A,8.0,8.0,13.0
TMEM191B,15.0,14.0,20.0
TMEM191C,25.0,22.0,35.0
TMEM192,19.0,21.0,21.0
TMEM196,4.0,2.0,3.0
TMEM198,7.0,9.0,19.0
TMEM200A,40.0,40.0,71.0
TMEM200B,24.0,32.0,45.0
TMEM200C,40.0,57.0,69.0
TMEM201,40.0,44.0,57.0
TMEM202,31.0,31.0,38.0
TMEM203,6.0,6.0,8.0
TMEM204,15.0,7.0,14.0
TMEM205,24.0,21.0,20.0
TMEM208,2.0,2.0,1.0
TMEM209,58.0,61.0,81.0
TMEM210,,,5.0
TMEM212,1.0,4.0,4.0
TMEM213,,,3.0
TMEM214,57.0,69.0,97.0
TMEM215,9.0,9.0,11.0
TMEM217,10.0,8.0,14.0
