Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
ACSF3,1091349.4808218663,259383.775102932,1627741.4735362192,2482287.840570275,922471.3846329168,4954259.580512595,1852698.167687384,1202560.2470904118,2288739.601949451,754929.9948275951,943887.2895484036,2774307.265130801,1110593.7120759224,2343978.961259012,,487799.1080204585,358315.03111429134,1521123.6082960966,1506267.045620309,2396141.383330313,691182.3224145311,412354.65324061585,395398.5262110704,4380537.6158272,210169.2639432407,1014036.0250948234,1165588.989047411,2497713.599553871,241055.48657019908,4057264.268528262,1122500.1950012336,3970780.265109814
ACSL1,11306938.193340585,14820882.0178042,35156372.97732718,44699329.77656572,12121024.244043171,54200423.29376725,23639173.10764375,45435044.61920795,27043812.004803,59371746.98327077,28984385.343163807,41170803.70775426,9599368.152012983,18853981.073326208,5675711.590948554,4571146.123765148,7917209.313394156,21428408.72185659,17633215.34343188,24112834.169753492,12653896.174311228,43178153.76777752,13728989.025073327,103637555.46311434,5783327.251626204,43120775.71305374,11742197.37172359,44995702.48614365,18667643.405089773,26727509.12520091,10086535.317533469,86809646.41577971
ACSL5,17560824.55946906,7985559.7320201155,4682449.739396992,30868904.70759971,5670088.247426731,18257712.132894486,14177408.207147304,30583001.88914214,8442663.93303889,44525217.90664642,17146495.395154577,38663796.7459991,11881562.696249044,4554291.1185756605,2305230.649515642,2526826.1596064987,5076845.3636501245,11856908.801350769,7735317.648153782,20858024.444978356,8017448.727198781,17289971.903428327,8600655.082337096,63755481.2675371,,19188140.80144196,11349428.06009592,31397081.651369095,19772533.054240983,15531984.40425505,5846060.780283175,53706762.92930697
ACSL6,22782268.560637236,14076766.756993124,21663773.306587737,45674321.63506577,16529392.67562269,69649211.07894555,36127224.963030025,41501320.69529455,17402291.56660525,51005953.60205728,14629362.904421285,55751937.130464174,25847001.067291785,13915978.089632332,4125971.2540641106,8548150.65095931,10899399.60352323,13782038.98956355,10282553.504323918,39288659.9947924,9904979.455273548,29540573.54574401,5431816.401697624,31189479.378945597,3222772.2570828544,56074667.17787415,8898210.480806243,28180664.28605315,25823313.884459883,30084169.74461197,7828918.00059317,44230838.3711787
ACSS1,7795276.576406181,,5447719.232528373,13174226.222957762,3863576.3463207697,7206236.4661375005,5776944.518779184,6281054.314945088,,7670912.678076014,310116.78082127735,7277262.534331232,3868377.692968747,12314114.49967102,,500309.8289763649,143070.34478112802,6548941.743473915,,5535236.053507033,,3862869.1810980192,4382513.29542134,58815119.44733544,,11307399.06856601,4906919.254445651,6731051.024170926,4560687.416529832,12915774.464935018,1245946.9441532816,26149301.745094363
ACSS2,6077158.031928399,6978328.209781126,6438732.727585839,11528985.943863755,14022473.47507229,25751386.963026486,17859228.305517767,1864870.4949156255,14340429.528238276,54313379.87285254,14233919.195170429,18245858.162090488,15216887.879433349,6328820.135888958,4972363.530496789,1410473.7877243834,5044395.884179802,4793073.833753732,7881230.553876152,9892404.708540527,4220610.068974869,2427327.273109205,19531566.53369776,31594347.597927757,2854457.470310629,13045647.084747856,5366823.006261361,30490097.544499807,21424645.88431409,63427633.66180747,5394470.532744933,16460510.156529522
ACTA2,527691855.7279167,940290958.4299587,571897692.4624535,752367783.9072661,2560084746.002839,347863029.40876883,737072891.6438644,213902773.87434682,4307210960.337854,548805208.3232958,3349396773.346405,1186086100.5304523,629608757.170732,506433619.64048845,4825713025.017164,493029866.7614535,1918253420.2445936,1325311837.9878662,2146424300.203542,475695040.2062357,3038754383.699692,113077670.0970609,6695738651.49728,550594437.5707978,3268836143.0624723,335073474.1752863,5215956667.402058,1626950376.5780659,3780268857.8780932,946154868.7051464,2398348818.256165,815096605.6049367
ACTB,12860020395.774887,18425997483.216,9506317959.113218,10359617074.652628,27429707419.507477,20212276075.510155,11884649414.316477,10334703592.377396,15588172346.72484,16532672057.018784,12460295463.1578,11712058227.181252,17893399985.338257,12271665107.147762,22474947568.934593,15396070185.283686,19619051776.9323,16728094941.689493,16039829174.144827,10752344685.195908,21567966854.899227,11011837170.412334,17948181850.209343,11484091179.052862,15383311765.335657,12435124023.574696,23079760333.629963,12176685540.74071,17360260084.637375,14531880543.951319,25953084044.227566,15583388389.663586
ACTL6A,6627253.024019495,18029242.4651639,6746889.600930989,5166035.558329014,2195639.7954956894,15205719.190646913,3320229.7795627746,8607920.2742541,21499362.743981224,9973117.555986412,24214117.444954906,13249178.908060338,10358179.134039536,9693508.915880335,3660372.1839617495,3087248.3247398133,3379594.6485671946,7131896.912758067,2108284.482490039,10743041.708956532,5007916.848586146,1855410.2821991376,1937455.5736618475,16908183.884107944,1588978.5097301344,9041059.23918074,12647406.168704985,32659819.39723259,6761176.630965335,19584070.896584734,4812735.065677687,17384025.76651811
ACTN1,287302847.04262596,803997659.8047088,272787679.70978343,401094864.14582896,3489195951.261898,536036969.082698,382521993.0317265,413254499.10727096,2938813098.628982,550421407.0403578,2238900534.571529,1060752371.0223508,608947952.1513053,533329832.1276415,2521099118.9367,926364527.0794606,2141899981.2105498,1765832447.4656258,2046859785.7962697,716675859.2777588,1440209654.027147,209582878.64314052,2870358210.532933,644240632.0020976,2528372751.666315,424093359.91915864,4504292653.788891,1223653182.3037772,1085971341.6144898,995363183.7556589,4119948045.8823156,591789178.0314559
