Protein,CRC01-N,CRC01-T
AHCYL1,58.0,54.0
AHCYL2,28.0,26.0
AHDC1,148.0,126.0
AHI1,159.0,156.0
AHI1-DT,13.0,15.0
AHNAK,655.0,710.0
AHNAK2,451.0,449.0
AHR,63.0,67.0
AHRR,64.0,82.0
AHSA1,50.0,55.0
AHSA2P,38.0,36.0
AHSG,25.0,27.0
AHSP,9.0,8.0
AICDA,42.0,55.0
AIDA,31.0,32.0
AIF1,14.0,14.0
AIF1L,22.0,24.0
AIFM1,46.0,50.0
AIFM2,35.0,44.0
AIFM3,53.0,55.0
AIG1,14.0,13.0
AIM2,57.0,48.0
AIMP1,45.0,39.0
AIMP2,31.0,33.0
AIP,45.0,43.0
AIPL1,46.0,51.0
AIRE,49.0,60.0
AIRIM,18.0,21.0
AJAP1,18.0,26.0
AJM1,101.0,100.0
AJUBA,57.0,61.0
AK1,26.0,23.0
AK2,47.0,51.0
AK3,40.0,33.0
AK4,24.0,27.0
AK5,58.0,60.0
AK6,23.0,25.0
AK7,88.0,82.0
AK8,63.0,80.0
AK9,170.0,163.0
AKAIN1,10.0,9.0
AKAP1,82.0,90.0
AKAP10,56.0,67.0
AKAP11,146.0,142.0
AKAP12,157.0,160.0
AKAP13,248.0,244.0
AKAP14,33.0,34.0
AKAP17A,65.0,76.0
AKAP19,13.0,12.0
AKAP3,96.0,89.0
AKAP4,107.0,108.0
AKAP5,27.0,29.0
AKAP6,223.0,234.0
AKAP7,79.0,79.0
AKAP8,46.0,57.0
AKAP8L,43.0,42.0
AKAP9,648.0,669.0
AKIP1,20.0,19.0
AKIRIN1,21.0,20.0
AKIRIN2,33.0,36.0
AKNA,137.0,140.0
AKNAD1,80.0,89.0
AKR1A1,33.0,38.0
AKR1B1,43.0,47.0
AKR1B10,17.0,21.0
AKR1B15,46.0,48.0
AKR1C1,6.0,5.0
AKR1C2,36.0,29.0
AKR1C3,49.0,43.0
AKR1C4,38.0,40.0
AKR1C8,41.0,41.0
AKR1D1,47.0,45.0
AKR1E2,54.0,54.0
AKR7A2,17.0,19.0
AKR7A3,15.0,21.0
AKR7L,24.0,22.0
AKT1,81.0,84.0
AKT1S1,22.0,17.0
AKT2,79.0,72.0
AKT3,64.0,58.0
AKTIP,26.0,36.0
ALAD,31.0,30.0
ALAS1,73.0,78.0
ALAS2,65.0,67.0
ALB,93.0,97.0
ALCAM,56.0,60.0
ALDH16A1,57.0,58.0
ALDH18A1,111.0,107.0
ALDH1A1,63.0,62.0
ALDH1A2,34.0,36.0
ALDH1A3,70.0,73.0
ALDH1B1,38.0,43.0
ALDH1L1,110.0,107.0
ALDH1L2,108.0,113.0
ALDH2,30.0,29.0
ALDH3A1,48.0,45.0
ALDH3A2,41.0,41.0
ALDH3B1,32.0,37.0
ALDH3B2,31.0,28.0
ALDH4A1,54.0,51.0
ALDH5A1,48.0,40.0
ALDH6A1,38.0,47.0
ALDH7A1,51.0,55.0
ALDH8A1,31.0,37.0
ALDH9A1,42.0,44.0
ALDOA,51.0,57.0
ALDOB,28.0,30.0
ALDOC,53.0,54.0
ALG1,43.0,38.0
ALG10,,1.0
ALG10B,20.0,17.0
ALG11,19.0,18.0
ALG12,32.0,41.0
ALG13,91.0,99.0
ALG14,25.0,21.0
ALG1L2,34.0,28.0
ALG2,45.0,47.0
ALG3,15.0,13.0
ALG5,23.0,30.0
ALG6,23.0,22.0
ALG8,26.0,36.0
ALG9,42.0,53.0
ALK,144.0,136.0
ALKAL1,15.0,12.0
ALKAL2,34.0,36.0
ALKBH1,45.0,52.0
ALKBH2,22.0,21.0
ALKBH3,61.0,57.0
ALKBH4,27.0,35.0
ALKBH5,44.0,39.0
ALKBH6,44.0,44.0
ALKBH7,27.0,34.0
ALKBH8,76.0,88.0
ALLC,45.0,50.0
ALMS1,486.0,507.0
ALOX12,67.0,70.0
ALOX12B,68.0,59.0
ALOX15,84.0,92.0
ALOX15B,65.0,61.0
ALOX5,73.0,81.0
ALOX5AP,8.0,7.0
