Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
ACO2,29.72919572367825,28.29479017827581,29.654811838853014,29.752257634399705,29.466893051371116,29.273774228653508,29.713485286937235,29.530283495427526,30.13143423647735,31.127316101612568,29.691213511528016,29.862296020959658,29.77522839041377,29.31182341152041,28.436862008175925,28.3937586674943,28.759090551603368,28.10295742047827,28.744492591419114,29.371549191179092,28.72379829658039,28.505813393347058,29.22256271212977,30.62763743882502,28.219432106868744,29.026526794809627,29.555303011242025,30.110644695811747,30.034362583413145,30.084711935141712,29.151104578693403,30.219389972032594
ACOT13,24.53057727117072,23.549826557848156,24.262740238291332,25.395382189868865,23.91267154521841,24.38180400325493,24.411662440506785,25.262139989045583,23.805084926770565,24.972955911545302,23.633880039770954,24.152510157530124,22.837215971942967,24.46682105058055,22.308805275483202,21.052643260750802,22.9728174873102,23.60977131284265,22.71866439867667,24.49994860568823,23.0212998559922,24.41456132314254,23.532458803849355,26.622958385630046,23.113438339461837,25.24559466367086,23.155611926135357,24.291924962570075,24.19751399622011,25.624339061699974,23.729231500795265,25.05617571721853
ACOT7,24.375271998168085,24.944440111064992,25.239761069562988,25.610352332356438,25.422772205752416,27.486630131863368,25.52813931280368,26.728666664021432,25.94465451843296,28.088686267471104,25.614326661563357,26.6281600604726,25.780352633406622,26.20992104088586,23.375226980143005,25.838467256218877,24.97390663449097,26.50623106137806,24.78279938807132,26.542777200569702,24.270283762624366,26.571610638358294,25.20341256624743,26.49385635355774,23.831639786333433,25.391613591911266,25.857280485940013,26.919045466426144,25.70173144098891,27.51981508158895,25.257822678219977,26.710884903933824
ACOX2,24.477580697984273,24.940728650441255,24.487098908897032,24.988434910996542,27.436229939728427,24.69253319966052,27.2007277092035,24.91152967719837,27.607648251353062,27.96324395860464,27.605135858140947,25.991442729639694,29.014969076921933,26.088376059216024,26.100307932213948,24.5006807443908,27.226742094871177,24.87125413802619,26.286954485287943,25.929867659649826,27.33427159063113,25.11603095678891,26.124239512211425,28.401806505238522,20.36165152100345,24.35665057800237,27.356930402882206,28.35876044921768,28.810927191538838,27.4207421386817,22.89485588070607,24.519029604347367
ACP1,24.55329653373976,25.399566992904603,24.56391086604771,25.54653614150648,24.707468323107715,26.048340186440075,23.506763430095535,25.843790108241645,25.26502079296645,26.369081645466302,25.483392756036967,26.430321366805288,24.769137603422507,25.253449062210507,23.912604019540044,24.846715215798664,22.13556802437025,23.70236195813207,23.216816815751393,25.695676429047023,24.262509256093512,25.63001308253283,25.37353399418813,26.621514975151115,23.82417506246931,24.782120205504835,25.27528381550625,26.48839109804119,25.711118479370715,26.90540018118276,24.220104298633235,26.093372498960406
ACSF3,20.05768173653233,17.98472871381588,20.634440150706848,21.243238986196836,19.815144633427202,22.240238030501736,20.821196433177484,20.197677742738428,21.12612190100488,19.525983342983615,19.84825507076365,21.403696149823293,20.082899702184783,21.160528190012872,16.029151818694558,18.89592759449047,18.4508690395015,20.536705962248504,20.52254613696901,21.19228160558598,19.39870679423706,18.65352616227871,18.592947968083745,22.062676509491006,17.68119217323765,19.95167747640155,20.1526277232173,21.252176629059647,17.87900574116553,21.952075844379657,20.09828426491624,21.920991096591095
ACSL1,23.43070497892354,23.821127971831494,25.06728290199838,25.413749863958518,23.531008277986697,25.691800782975815,24.4946762354983,25.43730215985652,24.688795187607045,25.823273228505933,24.788772555662433,25.295118276433357,23.19450801745409,24.16836584915517,22.436369850604294,22.12412450698453,22.91656056285981,24.353021383366233,24.07179223229385,24.52329789633581,23.593078327859025,25.36379822144376,23.710722056469063,26.626971650755838,22.46346830916654,25.361879795625462,23.485199076121926,25.42328388125388,24.154036478097076,24.6718220558454,23.265927364067807,26.37135203018716
ACSL5,24.06585725167753,22.9289621033612,22.15883207823737,24.879650958277377,22.43493975830723,24.122002657281584,23.757090479690515,24.866226686280605,23.009266856951786,25.40811933611269,24.031410395553877,25.20447997992082,23.502221260103056,22.11879508343852,21.13647967584207,21.268894982597512,22.275500886808945,23.499224600044297,22.88302910598966,24.314099184561915,22.93471179176689,24.043432188783544,23.036015118446617,25.926046044732903,17.51898060096355,24.19371159531327,23.43611626078907,24.904127131520678,24.23699437041766,23.888738827953826,22.47903339794766,25.67860043268741
ACSL6,24.441408075797867,23.746812668690517,24.368781211709535,25.444879966003672,23.9785303821894,26.053603675631905,25.106583105645818,25.306653912243014,24.05277395960137,25.604162317783132,23.802363606986265,25.73251859731555,24.623493563849117,23.730238976795654,21.97630233922438,23.027180903325252,23.377745330142517,23.716286008169558,23.293695243000666,25.227609627329205,23.239722552030486,24.816194501267788,22.373003285866172,24.89455613536919,21.619870810720034,25.740845816665207,23.085083794161083,24.74820228405281,24.622170816595492,24.842501206391994,22.900381502250124,25.39854925219712
ACSS1,22.894168779974112,18.899032616052768,22.37722092020042,23.651214893088515,21.88150547597947,22.780814562599648,22.46187520856401,22.582575314313097,18.30532268242957,22.870966807782533,18.242452068599604,22.79496442759771,21.883297230005372,23.553809552473535,17.619443797211698,18.932462269913874,17.126365139716544,22.642830366846,17.88694013357747,22.40021341225012,16.85621207402568,21.881241389794127,22.063327037082367,25.8096837367524,16.58516709261368,23.430763782539547,22.226386100732498,22.682400362268343,22.120819862502497,23.622630818176297,20.24881120507241,24.640269087458545
ACSS2,22.534965377895478,22.734450022329128,22.618345334133398,23.458762287513753,23.74123751823014,24.618146801780927,24.090166407388732,20.83064401598151,23.773584900871914,25.694804307883917,23.762829615249895,24.121065671372715,23.859169996771623,22.59350513647246,22.24550034529475,20.427748424420695,22.26625007213758,22.19251973310119,22.909989475068148,23.23788983241038,22.009020117989174,21.210937207463086,24.21930432975788,24.913163139643824,21.44478513653411,23.63706517009965,22.355636879235124,24.861837430063986,24.352768023267352,25.91860818377382,22.363049935475207,23.972505713755385
