Protein,Mean_Normal,Mean_Tumor,Log2FC,T_statistic,P_value,Neg_log10_P,Significant
SLC4A1,25.537484563131834,25.088100467335714,-0.4493840957961197,-1.6154285947499416,0.12125121259450146,0.9163139094641114,NS
SLC5A1,25.434133377206972,23.547457963609215,-1.8866754135977573,-2.1318617806803504,0.04153056106667809,1.3816322016491798,Down
SLIRP,24.436070883213368,25.872607209100593,1.436536325887225,3.3202594728973045,0.002377730990694731,2.6238372817044864,Up
SLMAP,27.9486935322239,25.810949465476586,-2.137744066747313,-5.33381228910069,1.581691441816439e-05,4.800878235241979,Down
SMARCA2,24.34157494816548,24.773876605043938,0.4323016568784581,1.8997655100367699,0.06836949133025136,1.1651376512435445,NS
SMARCA5,21.063898198931398,23.899805526758904,2.835907327827506,5.869383230232077,1.8725017079018194e-05,4.727577777509939,Up
SMARCC2,25.325733719057293,26.30854406110349,0.9828103420461964,3.7525010089406257,0.0010857491535178547,2.9642705005544214,NS
SMC3,24.989850050203387,23.54901650743123,-1.4408335427721575,-2.082487755858815,0.04620819284263895,1.335281015982848,Down
SMC4,26.23458701006187,25.37924119879132,-0.8553458112705492,-1.0828485246991153,0.28923674959233686,0.5387465276596783,NS
SMTN,28.503649216489812,25.59803450742345,-2.905614709066363,-5.680979303695949,1.89200016103371e-05,4.723078830970141,Down
SNAP23,23.7715630264833,24.219445723244952,0.4478826967616527,1.6470017799731873,0.11046636000418394,0.956769956267083,NS
SNAP91,22.92933724363573,23.2034864624817,0.2741492188459702,1.3396191627600151,0.19047225570409812,0.7201682749601105,NS
SND1,27.202003011462004,28.409527863955276,1.2075248524932718,6.5634365352610935,4.6589878042641537e-07,6.331708426393958,Up
SNRNP200,24.589374397872476,25.3402326076173,0.7508582097448233,1.1506059728525888,0.2590559281292832,0.586606465046893,NS
SNRNP70,24.15493674422505,25.563922351462764,1.4089856072377138,5.2173991910300295,1.6125692987389924e-05,4.7924816128705165,Up
SNRPA1,23.520728203696052,24.672771321076098,1.152043117380046,2.801664205531981,0.011455648009325602,1.940980339131548,Up
