Protein,F_statistic,P_value,FDR,Significant
KATNAL2,7.594511752721371,0.00527007081863852,0.025301421038421555,False
KCTD12,4.944132869786218,0.02242459864393301,0.06269906554511433,False
KDM3B,4.861773663160782,0.0235696735854638,0.06488888804260157,False
KGD4,0.6271908585109396,0.547527622845202,0.6475260505220651,False
KHDRBS1,9.475183129313544,0.002184494542927132,0.01609653948959205,False
KHSRP,6.88156491268108,0.00757553626517385,0.031398419325414435,False
KIAA0232,10.080679157679624,0.001679546814381087,0.014156621435403475,False
KIAA0930,6.197554728613092,0.010917837924948083,0.03948109822060344,False
KIF13B,9.685187458594694,0.001992060029934995,0.015669936996037952,False
KIF2A,3.43458982920991,0.05914809340196948,0.12445207767475618,False
KIF3B,12.765106640024822,0.0005785525000010034,0.009346336127181554,True
KIF5B,0.034763599217250196,0.9659112911183764,0.9711277337346772,False
KIF5C,4.72646419037399,0.025597813695733454,0.06807799499555778,False
KLC1,0.33696337658002967,0.719201933222269,0.7864400973169599,False
KLC4,0.40595720508881317,0.6734432923383045,0.7511670916814575,False
KLHL42,6.204644444179605,0.010875548785610945,0.03944151945950463,False
KNG1,2.7186110521491065,0.09829251728892018,0.17925345601914094,False
KPNA3,12.231758961987932,0.0007066688751645536,0.010251287448815668,False
KPNB1,2.3635603629464663,0.128146478183782,0.21737223406421335,False
KRAS,1.4095878212850483,0.27480673855951654,0.3834592466845471,False
KRT1,0.653682202259153,0.5343257727147661,0.6346006253294989,False
KRT10,0.3889010858201585,0.6844404133553446,0.758452323132857,False
KRT13,1.142808603229307,0.3451816963456033,0.45307632763576833,False
KRT14,1.5164103586375584,0.2513083714614246,0.3610436667812364,False
KRT15,1.3420282255176232,0.29095126414615907,0.3985193893945551,False
KRT18,9.601154445655888,0.0020666586782477894,0.015976911877913072,False
KRT19,2.100899640299743,0.15689893680262176,0.25168155669738346,False
KRT20,0.12883674811744034,0.880079824383931,0.9140811287583691,False
KRT34,11.750145704271882,0.0008505587520249957,0.011111978082010763,False
KRT6A,1.4340586793971553,0.26921141505498897,0.3782505039200285,False
KRT75,4.786912643978379,0.024668270157825863,0.06655666127123548,False
KRT79,2.528527923559193,0.11315677585304156,0.19904900571314554,False
KRT8,4.152803917713271,0.036705503498729086,0.08798293435210383,False
KRT86,2.7586562103053627,0.09545109305666184,0.17559454746527625,False
KTN1,0.8415453939798225,0.45041266515547335,0.560881769206983,False
KYNU,1.1107472462545198,0.35493854493282323,0.46343232576266924,False
L1CAM,11.917470034331702,0.0007971033757206554,0.010744694573286702,False
LACTB2,10.261563292276227,0.0015554303445801572,0.013914762400283042,False
LAD1,9.49438488828529,0.002166050616603458,0.01609653948959205,False
LAMA4,0.9549919508609112,0.40701506740355176,0.5175443635383061,False
LAMA5,2.908453384605952,0.08561758312137578,0.16196720319910063,False
LAMB1,1.293966505931079,0.30309126596838926,0.4103672049535646,False
LAMB2,6.765143739326862,0.008051713900889802,0.032736317650523546,False
LAMC1,8.306297103625045,0.0037302111731432165,0.020812381993137983,False
LAMP1,3.931136391939469,0.042392489942910616,0.09723287734339048,False
LAMTOR1,14.535226787134187,0.0003087294367892699,0.006631745786415663,True
LAMTOR3,2.008671842045483,0.16867881018980965,0.26593398868315793,False
LANCL1,6.194896506061921,0.010933741855444998,0.03948109822060344,False
LAP3,9.469076419472408,0.002190397495450306,0.01609653948959205,False
LARS1,5.975069665665189,0.012344594589900088,0.04245941996442952,False
LARS2,0.46157208365456986,0.6389520074078361,0.7247308843570098,False
LASP1,6.188985730536442,0.010969199736899558,0.039524503568118735,False
LBP,1.3907283893197935,0.2792089943534822,0.3870306990248992,False
LCLAT1,1.436252219163276,0.26871619481952524,0.37779230914211415,False
LCN2,24.241654706607758,1.998654626122954e-05,0.0018537254938840292,True
LCP1,2.1844419891184015,0.14702796973638835,0.2403275552908664,False
LDHA,7.911845750497426,0.0045086816590502645,0.02315493063521446,False
LDHB,0.6653181120576629,0.5286413830935452,0.6305311531398718,False
LETM1,3.4507431191922757,0.05849685795371629,0.12351794014045576,False
LGALS1,4.427639152874013,0.030817739941917173,0.07726917062877998,False
LGALS3,0.000492130131876453,0.9995080070817822,0.9995080070817822,False
LGALS3BP,6.6698331924152265,0.00846689048229132,0.033716636965131566,False
LGALS4,0.06633479977028986,0.9360904576322772,0.9514222394679287,False
LIG1,2.0448885154079366,0.16393739283553213,0.260999247536673,False
LIMA1,3.2214349076752735,0.06855870825003452,0.13860647441681187,False
